registration_no,subject_content_text,dbscan_cluster
MORLY/E/2023/1234567,Payment ka issue aaya hai. Mere account se paise gaya par ticket nahi mili.,0
MORLY/E/2023/2345678,"Station par safai nahi hai. Bahut ganda ho gaya hai, please dhyan dein.",0
MORLY/E/2023/3456789,Train late ho rahi hai aur koi information nahi mil rahi. Kya ho raha hai?,0
MORLY/E/2023/4567890,Train ke staff ka behavior badhiya nahi tha. Kya yeh samasya solve karenge?,-1
MORLY/E/2023/5678901,"Pichli baar ka experience bahut kharab tha, please is baar theek karein.",-1
MORLY/E/2023/6789012,"Mujhe refund nahi mila, ticket cancellation ke liye paise wapas nahi aaye.",0
MORLY/E/2023/7890123,"Platform bahut kharab halat mein hai, koi bhi dhyan nahi de raha.",0
MORLY/E/2023/8901234,"Train ka schedule change ho gaya hai, mujhe koi notification nahi mila.",0
MORLY/E/2023/9012345,Kya staff ko train ki info nahi hoti? Bahut confusion hota hai.,0
MORLY/E/2023/0123456,Railway station ka bathroom behtar hona chahiye. Bahut ganda hai.,0
MORLY/E/2023/1234560,"Mujhe koi message nahi aaya refund ke liye, please dekhein.",0
MORLY/E/2023/2345601,"Train ke timings har baar change hote hain, bhut dikkat hoti hai.",0
MORLY/E/2023/3456012,"Railway station par parking ki kami hai, please kuch karein.",0
MORLY/E/2023/4560123,"Staff ki training thik se nahi ho rahi, customer service kharab hai.",0
MORLY/E/2023/5601234,"Kahi baar payment ho jata hai, par ticket nahi milti. Yeh kya hai?",-1
MORLY/E/2023/6012345,Station ki building ka condition achha nahi hai. Kya kuch kiya jayega?,0
MORLY/E/2023/7123456,"Train puri nahi aayi, kya aap log kuch nahi kar sakte?",0
MORLY/E/2023/1234567,"Train ka timing bilkul galat hai, baar baar late ho jaata hai.",0
MORLY/E/2023/7654321,"Mera ticket ka paisa refund nahi hua hai, please help!",0
MORLY/E/2023/2345678,"Railway station pe safai nahi hai, bahut ganda hai.",0
MORLY/E/2023/3456789,"Staff ki training achi nahi hai, rude behavior hai.",0
MORLY/E/2023/4567890,"Train ka schedule bilkul adhere nahi ho raha hai, bahut pareshani ho rahi hai.",0
MORLY/E/2023/5678901,"Mera ticket confirmation nahi hua, paise toh debit ho gaye.",0
MORLY/E/2023/6789012,Platform pe kisi bhi tarah ka safety arrangement nahi hai!,-1
MORLY/E/2023/7890123,"Konductors ka behaviour acha nahi hai, bahut rude hain.",0
MORLY/E/2023/8901234,"Mujhe train chhodna pada, kyunki timing thik nahi tha.",-1
MORLY/E/2023/9012345,"Mera refund ab tak nahi aaya hai, bahut pareshaan hoon.",0
MORLY/E/2023/0123456,"Railway station pe elevators kharab hain, please fix them.",0
MORLY/E/2023/1234560,"Conductor ne mujhe andhere mein chhod diya, please dekhiye isse.",-1
MORLY/E/2023/2345698,"Train ko miss kar diya, kyunki baithne ki jagah nahi mili.",0
MORLY/E/2023/3456781,"Mere credit card se payment nahi ho raha hai, please madad karein.",0
MORLY/E/2023/4567892,"Station pe toilets bahut gande hain, please clean them.",0
MORLY/E/2023/5678903,"Staff ka behavior bahut kharab hai, mujhe samasya hui.",0
MORLY/E/2023/6789014,"Train bahut late aa raha hai, koi bhi information nahi hai.",0
MORLY/E/2023/7890125,"Mujhe payment ka confirmation nahi mila hai, please dekhiye.",0
MORLY/E/2023/8901236,"Station ke paas parking facilities nahi hai, please improve.",-1
MORLY/E/2023/9012347,"Staff ne mujhe jhoot bola, bahut bura laga.",0
MORLY/E/2023/9876543,"Train ka schedule bahut late ho raha hai. Muje samay par pahunchna hai, please kuch karein!",0
MORLY/E/2023/1234567,"Mere ticket ki payment abhi tak nahi hui hai, please dekhain! Transaction ID: XXXXXX.",0
MORLY/E/2023/2345678,"Train ke staff ne mere saath achha vyavhaar nahi kiya, please unhe samjhaein!",0
MORLY/E/2023/3456789,"Platform bahut kharab haalat mein hai, kuch karna padega!",0
MORLY/E/2023/4567890,"Mujhe train ki timing ki jankari nahi mil rahi, bahut parishani ho rahi hai!",0
MORLY/E/2023/5678901,"Mujhe refund nahi mila, please dekhein! Transaction ID: XXXXXX.",0
MORLY/E/2023/6789012,"Train staff ki taraf se service kafi bekar thi, main bahut naraaz hoon.",0
MORLY/E/2023/7890123,"Railway station ka infrastructure bahut kharab hai, kuch nahi kiya ja raha.",0
MORLY/E/2023/8901234,"Train ki haalat kharab hai, please ispe action lein!",0
MORLY/E/2023/9012345,"Mujhe ticket cancel karne par refund nahi mila hai, please dekhein!",0
MORLY/E/2023/0123456,"Mere saath staff ne achhe se baat nahi ki, mujhe samasya hui.",0
MORLY/E/2023/1234568,"Station ke washroom bahut gande hain, inka dhyan rakhein.",0
MORLY/E/2023/2345679,"Mere train ki reservation nahi hui hai, please madad kare!",-1
MORLY/E/2023/3456780,"Mujhe ticket ki payment nahi hui, please dekhein! Transaction ID: XXXX.",0
MORLY/E/2023/4567891,"Train staff ka vyavhaar bilkul theek nahi tha, please kuch karein.",0
MORLY/E/2023/5678902,"Station par bahut saari facilities nahi hain, please kuch karein.",0
MORLY/E/2023/6789013,"Train ka service bilkul sahi nahi hai, bahut dikkat ho rahi hai!",0
MORLY/E/2023/7890124,"Mujhe payment nahi mili, transaction ID: XXXXXX, please dekh le!",0
MORLY/E/2023/8901235,"Staff ne mujhe assist nahi kiya, bahut takleef hui.",0
MORLY/E/2023/1234567,"Train ka schedule baar-baar badal raha hai, isse humein dikkat ho rahi hai. Humein ek fix time chahiye.",0
MORLY/E/2023/2345678,Mujhe ticket ke liye payment karne ke baad confirmation nahi mila. Mere paise wapas kahan hain?,0
MORLY/E/2023/3456789,Mujhe train ke staff ki taraf se bura vyavhaar mila. Kya iske liye kuch kiya ja sakta hai?,1
MORLY/E/2023/4567890,"Platform ki sthiti bahut kharab hai, logon ko dikkat hoti hai. Iska kuch samadhan chahiye.",0
MORLY/E/2023/5678901,Train ke delays ke wajah se students ko school pahunchne mein mushkil ho rahi hai. Iska kuch kiya jaaye.,-1
MORLY/E/2023/6789012,Mujhse ticket ka paisa kat gaya par confirmation nahi mila. Kya aap meri madad kar sakte hain?,0
MORLY/E/2023/7890123,Railway ke staff se bura vyavhaar mila. Is par kuch kadam uthaye ja sakte hain?,1
MORLY/E/2023/8901234,"Railway ka bridge bahut purana ho gaya hai, iski marammat ki bahut zaroorat hai.",0
MORLY/E/2023/9012345,"Train ka time schedule sahi nahi hai, iski wajah se humein kaafi dikkat ho rahi hai.",0
MORLY/E/2023/0123456,"Maine online ticket ke liye payment kiya, lekin kuch nahi hua. Mujhe madad chahiye.",0
MORLY/E/2023/1234568,"Train ke staff ka vyavhaar achha nahi tha, is par kuch karwai honi chahiye.",-1
MORLY/E/2023/2345679,"Railway station par restroom ki sthiti bahut kharab hai, uska sudhar hona chahiye.",0
MORLY/E/2023/3456780,"Train ke operations mein bahut dikkat ho rahi hai, is par kuch kiya jaye.",0
MORLY/E/2023/4567891,"Mere payment ke liye refund nahi aaya, kya aap meri madad kar sakte hain?",0
MORLY/E/2023/5678902,Mujhe railway staff ka vyavhaar samajh nahi aaya. Kya iske liye aap kuch kar sakte hain?,0
MORLY/E/2023/6789013,Station ki safai bahut kharab hai. Is par kuch dhyan diya jaye.,0
MORLY/E/2023/7890124,"Railway services mein kai dikkat hai, ye dekha jaye. Bahut se log pareshaan hain.",-1
MORLY/E/2023/8901235,"Mere payment ka refund nahi aaya hai, kya yeh jaldi ho sakta hai?",0
MORLY/E/2023/9012346,"Mujhe railway staff ka vyavhaar bilkul theek nahi laga, kya yeh dekha ja sakta hai?",0
MORLY/E/2023/2345678,Train ka time hamesha late hota hai. Aaj bhi 2 ghante late hai. Kya kar rahe ho aap log?,0
MORLY/E/2023/3456789,Mere ticket ki payment nahi hui. Account number XXXXXX1234 hai. Jaldi dekhiye.,0
MORLY/E/2023/4567890,Station par safai nahi hai. Khud dekhiye kabhi! Badi dikkat hoti hai.,0
MORLY/E/2023/5678901,Staff rude hai. Help nahi karte. Kya yeh service hai? Mera PNR XXXXXX7890.,0
MORLY/E/2023/6789012,Train ka schedule kabhi check hi nahi hota. Aaj bhi wait kar raha hoon. Bura haal hai.,-1
MORLY/E/2023/7890123,Mera paisa ab tak refund nahi hua. Kya aap log sirf baten karne ke liye hain? Account XXXXXX4567.,0
MORLY/E/2023/8901234,Platform ki halat kharab hai. Kahi bhi kehne pe bhi koi nahi sunta hai. Aayiye dekhiye!,0
MORLY/E/2023/9012345,Koi bhi madad nahi karta. Mere issue par koi jawab nahi diya. Yeh kya hai?,0
MORLY/E/2023/0123456,Railway service bahut kharab hai. Jyada wait karna padta hai. Ye koi service hai kya?,0
MORLY/E/2023/1234567,Mujhe refund nahi mila. Kya aap log sirf bartan karne ke liye hain? XXXXXX7890.,0
MORLY/E/2023/2345678,Station ki safai bahut kharab hai. Aisa nahi chalega. Aap log kya kar rahe hain?,0
MORLY/E/2023/3456789,"Staff ka attitude theek nahi hai. Help nahi karte, sirf sunte hain.",0
MORLY/E/2023/4567890,"Railway ki service acchi nahi hai, kabhi time par nahi aati. Main pareshaan hoon.",0
MORLY/E/2023/5678901,"Refund ab tak nahi mila hai. Bahut pareshaan hoon, aap log to sirf bartan karte ho.",0
MORLY/E/2023/6789012,Railway station ki facilities bahut kharab hain. Ye theek nahi hai! Aap log kya kar rahe ho?,0
MORLY/E/2023/7890123,Mujhe staff ki training par bahut shikayat hai. Yeh kya hai? Koi madad nahi hoti!,0
MORLY/E/2023/8901235,Train mein bahut samasya aati hai. Kya aap log kuch nahi kar sakte? Bahut pareshaan hoon.,0
MORLY/E/2023/9012346,Payment ki koi confirmation nahi mili. Kya aap log dhyan nahi dete?,0
MORLY/E/2023/0123458,Station ki facilities bilkul kharab hain. Aap log kya kar rahe ho?,0
MORLY/E/2023/1234569,Staff ki training bilkul theek nahi hai. Koi madad nahi milti hai!,-1
MORLY/E/2023/2345670,Train chalane ka time kabhi nahi hota. Bahut pareshaan hoon.,0
MORLY/E/2023/3456781,Mere ticket ka paisa wapas nahi mila. Kya aap log kuch nahi kar sakte?,0
MORLY/E/2023/1234567,"Mujhe train ka schedule kaafi baar badalta hai, is wajah se mai kabhi kabhi late hote hoon. Aapko dhyan dena chahiye.",0
MORLY/E/2023/2345678,Maine ticket book ki thi lekin payment nahi hui. Mere account se paisa deduct ho gaya.,0
MORLY/E/2023/3456789,"Station ki facilities bahut kharab hain, toilets gande hain aur seating arrangement theek nahi hai.",0
MORLY/E/2023/4567890,"Guard ne train mein safety measures ke bare mein nahi bataya, yeh bahut zaroori hai.",0
MORLY/E/2023/5678901,"Train ka arrival time pehle se badal gaya hai, iss wajah se mujhe dikkat hoti hai.",0
MORLY/E/2023/6789012,"Maine double charges pay kiye hain, mujhe refund chahiye.",0
MORLY/E/2023/7890123,"Platform pe safai nahi hoti. Bahut ganda hai, is wajah se train ke liye khade hone mein dikkat hoti hai.",0
MORLY/E/2023/8901234,"Conductor ne mere saath achhe se baat nahi ki, zaroori hai ki staff polite rahe.",0
MORLY/E/2023/9012345,"Train ka timing bilkul galat hai, baar baar delay hota hai, is wajah se problem hoti hai.",0
MORLY/E/2023/0123456,"Mujhe ticket ka paisa nahi mila jo cancel kiya tha, iska kya hoga?",0
MORLY/E/2023/1234568,Platform par koi seating nahi hai aur safai bhi nahi hoti. Bahut dikkat hoti hai.,0
MORLY/E/2023/2345679,Staff ko customer service ke bare mein achhe se nahi samjhaaya gaya hai. Is par dhyaan dena chahiye.,0
MORLY/E/2023/3456790,"Mujhe kisi train ka number nahi pata, lekin wo kabhi bhi nahi aati. Bahut samasya hoti hai.",0
MORLY/E/2023/4567901,"Mujhe refund nahi mila, maine ticket cancel ki thi. Iska kya hoga?",0
MORLY/E/2023/5678902,"Station par koi facilities nahi hain, kuch nahi hai. Bahut pareshani hoti hai.",0
MORLY/E/2023/6789013,"Aaj kal staff ki services achhi nahi rahi hain, unko training ki zarurat hai.",0
MORLY/E/2023/7890124,"Trains baar baar late ho rahi hain, isliye mujhe pareshani hoti hai.",0
MORLY/E/2023/8901235,"Maine ek refund request ki thi, ab tak kuch nahi hua.",0
MORLY/E/2023/9012346,"Platform par koi bhi lighting nahi hai, raat ko bahut dikkat hoti hai.",0
MORLY/E/2023/1234567,"Railway ka train time pe nahi aaya. Bahut der ho gaya tha, bahut pareshani hui.",0
MORLY/E/2023/2345678,"Mujhe refund nahi mila hai, maine ticket cancel kiya tha lekin paisa nahi aaya.",0
MORLY/E/2023/3456789,"Station par washroom bahut ganda hai. Saaf nahi kiya jata hai, please dekhiye.",0
MORLY/E/2023/4567890,Train staff bilkul rude hain. Unse baat karne mein bahut takleef hoti hai.,0
MORLY/E/2023/5678901,"Train chhodne se pehle platform par announce nahi hota, bahut dikkat hoti hai.",0
MORLY/E/2023/6789012,"Mujhe online ticket kharidne par payment nahi hui, par amount deduct ho gaya.",0
MORLY/E/2023/7890123,Platform par seating arrangement bahut kharab hai. Log khade rehte hain.,0
MORLY/E/2023/8901234,"Conductor ne mujhe seat nahi di, bahut bura experience hua.",0
MORLY/E/2023/9012345,Train ka route badal gaya bina kisi notice ke. Kaafi samasya hui.,0
MORLY/E/2023/0123456,Ticket cancel karne par refund nahi mil raha. Bahut samasya ho rahi hai.,0
MORLY/E/2023/1234561,"Platform par paani bhara hua hai, logo ko dikkat ho rahi hai. Please dekhiye.",0
MORLY/E/2023/2345672,"Staff ne mujhe galat information di, kaafi samasya hui.",0
MORLY/E/2023/3456783,Train ki frequency bahut kam hai. Bahut dikkat hoti hai.,0
MORLY/E/2023/4567894,"Mujhe ticket kharidte waqt payment nahi mila, bahut samasya hai.",0
MORLY/E/2023/5678905,"Railway station par parking kaafi kharab hai, please improve karein.",0
MORLY/E/2023/6789016,"Koi bhi staff madad nahi kar raha, bahut dikkat hui.",0
MORLY/E/2023/7890127,"Train ka delay ho gaya, koi information nahi di gayi.",0
MORLY/E/2023/8901238,"Online payment fail ho raha hai, please kuch karein.",0
MORLY/E/2023/9012349,"Station par lights nahi hain, bahut andhera hota hai.",0
MORLY/E/2023/0123450,"Staff ka behavior bahut accha nahi hai, problem ho rahi hai.",0
MORLY/E/2023/1234561,Train ka platform change kar diya bina kisi notice ke. Please dekhiye.,0
MORLY/E/2023/2345672,"Mujhe ticket ki payment nahi mili, bahut dikkat hai.",0
MORLY/E/2023/1234567,"Train ka time barabar nahi hai, bahut takleef hoti hai. Please kuch karein.",0
MORLY/E/2023/2345678,"Mujhe ticket ke liye payment ki confirmation nahi mili, koi dikkat hai kya?",0
MORLY/E/2023/3456789,"Conductor ne ticket check nahi kiya aur rude behave kiya, bahut bura laga.",0
MORLY/E/2023/4567890,"Platform pe safai nahi ho rahi hai, bahut gandh hai, kuch karein!",0
MORLY/E/2023/5678901,"Train ka delay bahut hota hai, koi proper system nahi hai. Please dekhein!",0
MORLY/E/2023/6789012,"Mujhe refund nahi mila ab tak, kya problem hai? PNR: XXXXXX.",0
MORLY/E/2023/7890123,"Staff ne mujhe samajh nahi paya, unki attitude ka kuch nahi hota.",0
MORLY/E/2023/8901234,"Station ki building bahut purani hai, naye infrastructure ki zarurat hai.",0
MORLY/E/2023/9012345,"Train ka jaane ka samay change ho gaya bina kisi suchna ke, kaisa hai yeh?",0
MORLY/E/2023/0123456,"Mujhe ticket ka refund nahi mila, please help! PNR: XXXXXX.",0
MORLY/E/2023/1234568,"Railway staff ne mujhe ghalat information di, kaafi samay barbaad hua.",0
MORLY/E/2023/2345679,"Platform pe sochne ke liye jagah nahi hai, khud pe chalte chalte gir gaya.",0
MORLY/E/2023/3456780,"Train ka service bahut kharab hai, samasya jaldi hal karein.",-1
MORLY/E/2023/4567891,"Refund nahi mila ab tak, PNR: XXXXXX, kya ho raha hai?",0
MORLY/E/2023/5678902,"Staff ki training nahi hui, unka behavior theek nahi hai.",0
MORLY/E/2023/6789013,"Station ki infrastructure bahut poor hai, kuch upgrade ki zarurat hai.",0
MORLY/E/2023/7890124,"Train time pe nahi aayi, bahut issues hain, please dekhein.",0
MORLY/E/2023/8901235,"Mujhe refund ka status chahiye, ab tak nahi mila, kya karna hai?",0
MORLY/E/2023/9012346,"Staff ne mujhe samajh nahi paya, unka behavior theek nahi hai.",0
MORLY/E/2023/1234567,Train ka time change ho gaya hai. Pichle mahine se kuch nahi badla. Bahut pareshani ho rahi hai!,0
MORLY/E/2023/2345678,Online ticket booking ke liye payment nahi ho raha hai. Mere account ka number XXXXXX1234 hai.,0
MORLY/E/2023/3456789,Station par facilities bahut kharab hain. Toilets gande hain aur benches bhi nahi hain.,0
MORLY/E/2023/4567890,Railway staff ka behavior bahut bura hai. Unhone mujhe bura bola jab maine unse madad maangi.,0
MORLY/E/2023/5678901,Train ka delay baar-baar ho raha hai. Mere paas important meeting hai!,-1
MORLY/E/2023/6789012,Ticket cancel karne par refund nahi mila. Mere account ka no. XXXXXX9876 hai.,0
