registration_no,cleaned_text,language
MORLY/E/2023/1234567,payment issue account paise ticket nahi mili,english
MORLY/E/2023/2345678,station safai nahi bahut ganda dhyan dein,english
MORLY/E/2023/3456789,train late information nahi mil,english
MORLY/E/2023/4567890,train staff behavior badhiya nahi samasya solve karenge,english
MORLY/E/2023/5678901,pichli baar experience bahut kharab baar theek,english
MORLY/E/2023/6789012,refund nahi mila ticket cancellation paise wapas nahi aaye,english
MORLY/E/2023/7890123,platform bahut kharab halat dhyan nahi,english
MORLY/E/2023/8901234,train schedule change notification nahi mila,english
MORLY/E/2023/9012345,staff train info nahi bahut confusion,english
MORLY/E/2023/0123456,railway station bathroom behtar chahiye bahut ganda,english
MORLY/E/2023/1234560,message nahi refund dekhein,english
MORLY/E/2023/2345601,train timings har baar change bhut dikkat,english
MORLY/E/2023/3456012,railway station parking kami,english
MORLY/E/2023/4560123,staff training thik nahi customer service kharab,english
MORLY/E/2023/5601234,kahi baar payment jata ticket nahi milti,english
MORLY/E/2023/6012345,station building condition achha nahi jayega,english
MORLY/E/2023/7123456,train puri nahi log nahi sakte,english
MORLY/E/2023/1234567,train timing galat baar baar late jaata,english
MORLY/E/2023/7654321,ticket paisa refund nahi,english
MORLY/E/2023/2345678,railway station safai nahi bahut ganda,english
MORLY/E/2023/3456789,staff training achi nahi rude behavior,english
MORLY/E/2023/4567890,train schedule adhere nahi bahut pareshani,english
MORLY/E/2023/5678901,ticket confirmation nahi paise debit,english
MORLY/E/2023/6789012,platform kisi tarah safety arrangement nahi,english
MORLY/E/2023/7890123,konductors behaviour acha nahi bahut rude,english
MORLY/E/2023/8901234,train chhodna pada kyunki timing thik nahi,english
MORLY/E/2023/9012345,refund nahi bahut pareshaan,english
MORLY/E/2023/0123456,railway station elevators kharab fix,english
MORLY/E/2023/1234560,conductor andhere chhod dekhiye isse,english
MORLY/E/2023/2345698,train miss kyunki baithne jagah nahi mili,english
MORLY/E/2023/3456781,credit card payment nahi,english
MORLY/E/2023/4567892,station toilets bahut gande clean,english
MORLY/E/2023/5678903,staff behavior bahut kharab samasya,english
MORLY/E/2023/6789014,train bahut late information nahi,english
MORLY/E/2023/7890125,payment confirmation nahi mila dekhiye,english
MORLY/E/2023/8901236,station paas parking facilities nahi improve,english
MORLY/E/2023/9012347,staff jhoot bola bahut bura laga,english
MORLY/E/2023/9876543,train schedule bahut late muje samay pahunchna,english
MORLY/E/2023/1234567,ticket payment abhi nahi dekhain transaction xxxxxx,english
MORLY/E/2023/2345678,train staff saath achha vyavhaar nahi samjhaein,english
MORLY/E/2023/3456789,platform bahut kharab haalat padega,english
MORLY/E/2023/4567890,train timing jankari nahi mil bahut parishani,english
MORLY/E/2023/5678901,refund nahi mila dekhein transaction xxxxxx,english
MORLY/E/2023/6789012,train staff taraf service kafi bekar main bahut naraaz,english
MORLY/E/2023/7890123,railway station infrastructure bahut kharab nahi,english
MORLY/E/2023/8901234,train haalat kharab ispe action lein,english
MORLY/E/2023/9012345,ticket cancel refund nahi mila dekhein,english
MORLY/E/2023/0123456,saath staff achhe baat nahi samasya,english
MORLY/E/2023/1234568,station washroom bahut gande inka dhyan rakhein,english
MORLY/E/2023/2345679,train reservation nahi kare,english
MORLY/E/2023/3456780,ticket payment nahi dekhein transaction xxxx,english
MORLY/E/2023/4567891,train staff vyavhaar theek nahi,english
