registration_no,subject_content_text,cleaned_text,ymeans_cluster
MORLY/E/2023/1234567,Payment ka issue aaya hai. Mere account se paise gaya par ticket nahi mili.,payment issue account paise ticket nahi mili,1
MORLY/E/2023/2345678,"Station par safai nahi hai. Bahut ganda ho gaya hai, please dhyan dein.",station safai nahi bahut ganda dhyan dein,0
MORLY/E/2023/3456789,Train late ho rahi hai aur koi information nahi mil rahi. Kya ho raha hai?,train late information nahi mil,0
MORLY/E/2023/4567890,Train ke staff ka behavior badhiya nahi tha. Kya yeh samasya solve karenge?,train staff behavior badhiya nahi samasya solve karenge,0
MORLY/E/2023/5678901,"Pichli baar ka experience bahut kharab tha, please is baar theek karein.",pichli baar experience bahut kharab baar theek,0
MORLY/E/2023/6789012,"Mujhe refund nahi mila, ticket cancellation ke liye paise wapas nahi aaye.",refund nahi mila ticket cancellation paise wapas nahi aaye,1
MORLY/E/2023/7890123,"Platform bahut kharab halat mein hai, koi bhi dhyan nahi de raha.",platform bahut kharab halat dhyan nahi,0
MORLY/E/2023/8901234,"Train ka schedule change ho gaya hai, mujhe koi notification nahi mila.",train schedule change notification nahi mila,0
MORLY/E/2023/9012345,Kya staff ko train ki info nahi hoti? Bahut confusion hota hai.,staff train info nahi bahut confusion,0
MORLY/E/2023/0123456,Railway station ka bathroom behtar hona chahiye. Bahut ganda hai.,railway station bathroom behtar chahiye bahut ganda,0
MORLY/E/2023/1234560,"Mujhe koi message nahi aaya refund ke liye, please dekhein.",message nahi refund dekhein,1
MORLY/E/2023/2345601,"Train ke timings har baar change hote hain, bhut dikkat hoti hai.",train timings har baar change bhut dikkat,0
MORLY/E/2023/3456012,"Railway station par parking ki kami hai, please kuch karein.",railway station parking kami,0
MORLY/E/2023/4560123,"Staff ki training thik se nahi ho rahi, customer service kharab hai.",staff training thik nahi customer service kharab,0
MORLY/E/2023/5601234,"Kahi baar payment ho jata hai, par ticket nahi milti. Yeh kya hai?",kahi baar payment jata ticket nahi milti,1
MORLY/E/2023/6012345,Station ki building ka condition achha nahi hai. Kya kuch kiya jayega?,station building condition achha nahi jayega,0
MORLY/E/2023/7123456,"Train puri nahi aayi, kya aap log kuch nahi kar sakte?",train puri nahi log nahi sakte,0
MORLY/E/2023/1234567,"Train ka timing bilkul galat hai, baar baar late ho jaata hai.",train timing galat baar baar late jaata,0
MORLY/E/2023/7654321,"Mera ticket ka paisa refund nahi hua hai, please help!",ticket paisa refund nahi,1
MORLY/E/2023/2345678,"Railway station pe safai nahi hai, bahut ganda hai.",railway station safai nahi bahut ganda,0
MORLY/E/2023/3456789,"Staff ki training achi nahi hai, rude behavior hai.",staff training achi nahi rude behavior,0
MORLY/E/2023/4567890,"Train ka schedule bilkul adhere nahi ho raha hai, bahut pareshani ho rahi hai.",train schedule adhere nahi bahut pareshani,0
MORLY/E/2023/5678901,"Mera ticket confirmation nahi hua, paise toh debit ho gaye.",ticket confirmation nahi paise debit,1
MORLY/E/2023/6789012,Platform pe kisi bhi tarah ka safety arrangement nahi hai!,platform kisi tarah safety arrangement nahi,0
MORLY/E/2023/7890123,"Konductors ka behaviour acha nahi hai, bahut rude hain.",konductors behaviour acha nahi bahut rude,0
MORLY/E/2023/8901234,"Mujhe train chhodna pada, kyunki timing thik nahi tha.",train chhodna pada kyunki timing thik nahi,0
MORLY/E/2023/9012345,"Mera refund ab tak nahi aaya hai, bahut pareshaan hoon.",refund nahi bahut pareshaan,1
MORLY/E/2023/0123456,"Railway station pe elevators kharab hain, please fix them.",railway station elevators kharab fix,0
MORLY/E/2023/1234560,"Conductor ne mujhe andhere mein chhod diya, please dekhiye isse.",conductor andhere chhod dekhiye isse,0
MORLY/E/2023/2345698,"Train ko miss kar diya, kyunki baithne ki jagah nahi mili.",train miss kyunki baithne jagah nahi mili,0
MORLY/E/2023/3456781,"Mere credit card se payment nahi ho raha hai, please madad karein.",credit card payment nahi,1
MORLY/E/2023/4567892,"Station pe toilets bahut gande hain, please clean them.",station toilets bahut gande clean,0
MORLY/E/2023/5678903,"Staff ka behavior bahut kharab hai, mujhe samasya hui.",staff behavior bahut kharab samasya,0
MORLY/E/2023/6789014,"Train bahut late aa raha hai, koi bhi information nahi hai.",train bahut late information nahi,0
MORLY/E/2023/7890125,"Mujhe payment ka confirmation nahi mila hai, please dekhiye.",payment confirmation nahi mila dekhiye,1
MORLY/E/2023/8901236,"Station ke paas parking facilities nahi hai, please improve.",station paas parking facilities nahi improve,0
MORLY/E/2023/9012347,"Staff ne mujhe jhoot bola, bahut bura laga.",staff jhoot bola bahut bura laga,0
