registration_no,subject_content_text,cleaned_text,agg_cluster
MORLY/E/2023/1234567,Payment ka issue aaya hai. Mere account se paise gaya par ticket nahi mili.,payment issue account paise ticket nahi mili,1456
MORLY/E/2023/2345678,"Station par safai nahi hai. Bahut ganda ho gaya hai, please dhyan dein.",station safai nahi bahut ganda dhyan dein,166
MORLY/E/2023/3456789,Train late ho rahi hai aur koi information nahi mil rahi. Kya ho raha hai?,train late information nahi mil,1297
MORLY/E/2023/4567890,Train ke staff ka behavior badhiya nahi tha. Kya yeh samasya solve karenge?,train staff behavior badhiya nahi samasya solve karenge,1088
MORLY/E/2023/5678901,"Pichli baar ka experience bahut kharab tha, please is baar theek karein.",pichli baar experience bahut kharab baar theek,145
MORLY/E/2023/6789012,"Mujhe refund nahi mila, ticket cancellation ke liye paise wapas nahi aaye.",refund nahi mila ticket cancellation paise wapas nahi aaye,640
MORLY/E/2023/7890123,"Platform bahut kharab halat mein hai, koi bhi dhyan nahi de raha.",platform bahut kharab halat dhyan nahi,328
MORLY/E/2023/8901234,"Train ka schedule change ho gaya hai, mujhe koi notification nahi mila.",train schedule change notification nahi mila,713
MORLY/E/2023/9012345,Kya staff ko train ki info nahi hoti? Bahut confusion hota hai.,staff train info nahi bahut confusion,574
MORLY/E/2023/0123456,Railway station ka bathroom behtar hona chahiye. Bahut ganda hai.,railway station bathroom behtar chahiye bahut ganda,1834
MORLY/E/2023/1234560,"Mujhe koi message nahi aaya refund ke liye, please dekhein.",message nahi refund dekhein,1985
MORLY/E/2023/2345601,"Train ke timings har baar change hote hain, bhut dikkat hoti hai.",train timings har baar change bhut dikkat,1010
MORLY/E/2023/3456012,"Railway station par parking ki kami hai, please kuch karein.",railway station parking kami,934
MORLY/E/2023/4560123,"Staff ki training thik se nahi ho rahi, customer service kharab hai.",staff training thik nahi customer service kharab,115
MORLY/E/2023/5601234,"Kahi baar payment ho jata hai, par ticket nahi milti. Yeh kya hai?",kahi baar payment jata ticket nahi milti,1190
MORLY/E/2023/6012345,Station ki building ka condition achha nahi hai. Kya kuch kiya jayega?,station building condition achha nahi jayega,1740
MORLY/E/2023/7123456,"Train puri nahi aayi, kya aap log kuch nahi kar sakte?",train puri nahi log nahi sakte,495
MORLY/E/2023/1234567,"Train ka timing bilkul galat hai, baar baar late ho jaata hai.",train timing galat baar baar late jaata,944
MORLY/E/2023/7654321,"Mera ticket ka paisa refund nahi hua hai, please help!",ticket paisa refund nahi,791
