registration_no,subject_content_text,cleaned_text,annotation
MORLY/E/2023/1234567,Payment ka issue aaya hai. Mere account se paise gaya par ticket nahi mili.,payment issue account paise ticket nahi mili,"ticket_booking,payment_issue,service_quality"
MORLY/E/2023/2345678,"Station par safai nahi hai. Bahut ganda ho gaya hai, please dhyan dein.",station safai nahi bahut ganda dhyan dein,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/3456789,Train late ho rahi hai aur koi information nahi mil rahi. Kya ho raha hai?,train late information nahi mil,"train_delay,staff_training"
MORLY/E/2023/4567890,Train ke staff ka behavior badhiya nahi tha. Kya yeh samasya solve karenge?,train staff behavior badhiya nahi samasya solve karenge,"staff_misbehavior,service_quality"
MORLY/E/2023/5678901,"Pichli baar ka experience bahut kharab tha, please is baar theek karein.",pichli baar experience bahut kharab baar theek,service_quality
MORLY/E/2023/6789012,"Mujhe refund nahi mila, ticket cancellation ke liye paise wapas nahi aaye.",refund nahi mila ticket cancellation paise wapas nahi aaye,"refund_delay,ticket_booking,payment_issue"
MORLY/E/2023/7890123,"Platform bahut kharab halat mein hai, koi bhi dhyan nahi de raha.",platform bahut kharab halat dhyan nahi,"platform_infrastructure,service_quality"
MORLY/E/2023/8901234,"Train ka schedule change ho gaya hai, mujhe koi notification nahi mila.",train schedule change notification nahi mila,train_schedule
MORLY/E/2023/9012345,Kya staff ko train ki info nahi hoti? Bahut confusion hota hai.,staff train info nahi bahut confusion,"staff_misbehavior,staff_training"
MORLY/E/2023/0123456,Railway station ka bathroom behtar hona chahiye. Bahut ganda hai.,railway station bathroom behtar chahiye bahut ganda,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/1234560,"Mujhe koi message nahi aaya refund ke liye, please dekhein.",message nahi refund dekhein,refund_delay
MORLY/E/2023/2345601,"Train ke timings har baar change hote hain, bhut dikkat hoti hai.",train timings har baar change bhut dikkat,train_schedule
MORLY/E/2023/3456012,"Railway station par parking ki kami hai, please kuch karein.",railway station parking kami,platform_infrastructure
MORLY/E/2023/4560123,"Staff ki training thik se nahi ho rahi, customer service kharab hai.",staff training thik nahi customer service kharab,"staff_misbehavior,service_quality,staff_training"
MORLY/E/2023/5601234,"Kahi baar payment ho jata hai, par ticket nahi milti. Yeh kya hai?",kahi baar payment jata ticket nahi milti,"ticket_booking,payment_issue"
MORLY/E/2023/6012345,Station ki building ka condition achha nahi hai. Kya kuch kiya jayega?,station building condition achha nahi jayega,platform_infrastructure
MORLY/E/2023/7123456,"Train puri nahi aayi, kya aap log kuch nahi kar sakte?",train puri nahi log nahi sakte,service_quality
MORLY/E/2023/1234567,"Train ka timing bilkul galat hai, baar baar late ho jaata hai.",train timing galat baar baar late jaata,"train_delay,train_schedule"
MORLY/E/2023/7654321,"Mera ticket ka paisa refund nahi hua hai, please help!",ticket paisa refund nahi,"refund_delay,ticket_booking"
MORLY/E/2023/2345678,"Railway station pe safai nahi hai, bahut ganda hai.",railway station safai nahi bahut ganda,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/3456789,"Staff ki training achi nahi hai, rude behavior hai.",staff training achi nahi rude behavior,"staff_misbehavior,staff_training"
MORLY/E/2023/4567890,"Train ka schedule bilkul adhere nahi ho raha hai, bahut pareshani ho rahi hai.",train schedule adhere nahi bahut pareshani,train_schedule
MORLY/E/2023/5678901,"Mera ticket confirmation nahi hua, paise toh debit ho gaye.",ticket confirmation nahi paise debit,"ticket_booking,payment_issue"
MORLY/E/2023/6789012,Platform pe kisi bhi tarah ka safety arrangement nahi hai!,platform kisi tarah safety arrangement nahi,platform_infrastructure
MORLY/E/2023/7890123,"Konductors ka behaviour acha nahi hai, bahut rude hain.",konductors behaviour acha nahi bahut rude,staff_misbehavior
MORLY/E/2023/8901234,"Mujhe train chhodna pada, kyunki timing thik nahi tha.",train chhodna pada kyunki timing thik nahi,train_schedule
MORLY/E/2023/9012345,"Mera refund ab tak nahi aaya hai, bahut pareshaan hoon.",refund nahi bahut pareshaan,refund_delay
MORLY/E/2023/0123456,"Railway station pe elevators kharab hain, please fix them.",railway station elevators kharab fix,"platform_infrastructure,service_quality"
MORLY/E/2023/1234560,"Conductor ne mujhe andhere mein chhod diya, please dekhiye isse.",conductor andhere chhod dekhiye isse,staff_misbehavior
MORLY/E/2023/2345698,"Train ko miss kar diya, kyunki baithne ki jagah nahi mili.",train miss kyunki baithne jagah nahi mili,service_quality
MORLY/E/2023/3456781,"Mere credit card se payment nahi ho raha hai, please madad karein.",credit card payment nahi,payment_issue
MORLY/E/2023/4567892,"Station pe toilets bahut gande hain, please clean them.",station toilets bahut gande clean,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/5678903,"Staff ka behavior bahut kharab hai, mujhe samasya hui.",staff behavior bahut kharab samasya,"staff_misbehavior,service_quality"
MORLY/E/2023/6789014,"Train bahut late aa raha hai, koi bhi information nahi hai.",train bahut late information nahi,"train_delay,staff_training"
MORLY/E/2023/7890125,"Mujhe payment ka confirmation nahi mila hai, please dekhiye.",payment confirmation nahi mila dekhiye,payment_issue
MORLY/E/2023/8901236,"Station ke paas parking facilities nahi hai, please improve.",station paas parking facilities nahi improve,platform_infrastructure
MORLY/E/2023/9012347,"Staff ne mujhe jhoot bola, bahut bura laga.",staff jhoot bola bahut bura laga,staff_misbehavior
MORLY/E/2023/9876543,"Train ka schedule bahut late ho raha hai. Muje samay par pahunchna hai, please kuch karein!",train schedule bahut late muje samay pahunchna,"train_delay,train_schedule"
MORLY/E/2023/1234567,"Mere ticket ki payment abhi tak nahi hui hai, please dekhain! Transaction ID: XXXXXX.",ticket payment abhi nahi dekhain transaction xxxxxx,"ticket_booking,payment_issue"
MORLY/E/2023/2345678,"Train ke staff ne mere saath achha vyavhaar nahi kiya, please unhe samjhaein!",train staff saath achha vyavhaar nahi samjhaein,staff_misbehavior
MORLY/E/2023/3456789,"Platform bahut kharab haalat mein hai, kuch karna padega!",platform bahut kharab haalat padega,"platform_infrastructure,service_quality"
MORLY/E/2023/4567890,"Mujhe train ki timing ki jankari nahi mil rahi, bahut parishani ho rahi hai!",train timing jankari nahi mil bahut parishani,train_schedule
MORLY/E/2023/5678901,"Mujhe refund nahi mila, please dekhein! Transaction ID: XXXXXX.",refund nahi mila dekhein transaction xxxxxx,"refund_delay,payment_issue"
MORLY/E/2023/6789012,"Train staff ki taraf se service kafi bekar thi, main bahut naraaz hoon.",train staff taraf service kafi bekar main bahut naraaz,"staff_misbehavior,service_quality"
MORLY/E/2023/7890123,"Railway station ka infrastructure bahut kharab hai, kuch nahi kiya ja raha.",railway station infrastructure bahut kharab nahi,"platform_infrastructure,service_quality"
MORLY/E/2023/8901234,"Train ki haalat kharab hai, please ispe action lein!",train haalat kharab ispe action lein,"platform_infrastructure,service_quality"
MORLY/E/2023/9012345,"Mujhe ticket cancel karne par refund nahi mila hai, please dekhein!",ticket cancel refund nahi mila dekhein,"refund_delay,ticket_booking"
MORLY/E/2023/0123456,"Mere saath staff ne achhe se baat nahi ki, mujhe samasya hui.",saath staff achhe baat nahi samasya,staff_misbehavior
MORLY/E/2023/1234568,"Station ke washroom bahut gande hain, inka dhyan rakhein.",station washroom bahut gande inka dhyan rakhein,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/2345679,"Mere train ki reservation nahi hui hai, please madad kare!",train reservation nahi kare,ticket_booking
MORLY/E/2023/3456780,"Mujhe ticket ki payment nahi hui, please dekhein! Transaction ID: XXXX.",ticket payment nahi dekhein transaction xxxx,"ticket_booking,payment_issue"
MORLY/E/2023/4567891,"Train staff ka vyavhaar bilkul theek nahi tha, please kuch karein.",train staff vyavhaar theek nahi,staff_misbehavior
MORLY/E/2023/5678902,"Station par bahut saari facilities nahi hain, please kuch karein.",station bahut saari facilities nahi,platform_infrastructure
MORLY/E/2023/6789013,"Train ka service bilkul sahi nahi hai, bahut dikkat ho rahi hai!",train service sahi nahi bahut dikkat,service_quality
MORLY/E/2023/7890124,"Mujhe payment nahi mili, transaction ID: XXXXXX, please dekh le!",payment nahi mili transaction xxxxxx dekh,payment_issue
MORLY/E/2023/8901235,"Staff ne mujhe assist nahi kiya, bahut takleef hui.",staff assist nahi bahut takleef,staff_misbehavior
MORLY/E/2023/1234567,"Train ka schedule baar-baar badal raha hai, isse humein dikkat ho rahi hai. Humein ek fix time chahiye.",train schedule baarbaar badal isse dikkat fix time chahiye,"service_quality,train_schedule"
MORLY/E/2023/2345678,Mujhe ticket ke liye payment karne ke baad confirmation nahi mila. Mere paise wapas kahan hain?,ticket payment baad confirmation nahi mila paise wapas,"refund_delay,ticket_booking,payment_issue"
MORLY/E/2023/3456789,Mujhe train ke staff ki taraf se bura vyavhaar mila. Kya iske liye kuch kiya ja sakta hai?,train staff taraf bura vyavhaar mila iske sakta,staff_misbehavior
MORLY/E/2023/4567890,"Platform ki sthiti bahut kharab hai, logon ko dikkat hoti hai. Iska kuch samadhan chahiye.",platform sthiti bahut kharab logon dikkat samadhan chahiye,"platform_infrastructure,service_quality"
MORLY/E/2023/5678901,Train ke delays ke wajah se students ko school pahunchne mein mushkil ho rahi hai. Iska kuch kiya jaaye.,train delays wajah students school pahunchne mushkil jaaye,train_delay
MORLY/E/2023/6789012,Mujhse ticket ka paisa kat gaya par confirmation nahi mila. Kya aap meri madad kar sakte hain?,mujhse ticket paisa kat confirmation nahi mila sakte,"ticket_booking,payment_issue"
MORLY/E/2023/7890123,Railway ke staff se bura vyavhaar mila. Is par kuch kadam uthaye ja sakte hain?,railway staff bura vyavhaar mila kadam uthaye sakte,staff_misbehavior
MORLY/E/2023/8901234,"Railway ka bridge bahut purana ho gaya hai, iski marammat ki bahut zaroorat hai.",railway bridge bahut purana iski marammat bahut zaroorat,platform_infrastructure
MORLY/E/2023/9012345,"Train ka time schedule sahi nahi hai, iski wajah se humein kaafi dikkat ho rahi hai.",train time schedule sahi nahi iski wajah dikkat,train_schedule
MORLY/E/2023/0123456,"Maine online ticket ke liye payment kiya, lekin kuch nahi hua. Mujhe madad chahiye.",online ticket payment nahi chahiye,"ticket_booking,payment_issue"
